ID,Member Name,Department,Division,Start Date,End Date,Funding Type,Status,Peer Reviewed?,Industry Grant?,Role,Title,Grant Purpose,Area,Principal Investigator,Co-Investigators,Administered By,Funding Source,Total Amount
1248,"Adams, Paul",Medicine,Gastroenterology,Jan-86,Jan-88,Grants,Funded,FALSE,FALSE,Co-Investigator,Iron metabolism and hemochromatosis.,,,Paul Adams,,,Canadian Liver Foundation,
1249,"Adams, Paul",Medicine,Gastroenterology,1989,1992,Grants,Funded,FALSE,FALSE,Co-Investigator,Isolation of Hepatic Ferritin Receptor.,Operating,Research,Paul Adams,,,Medical Research Council of Canada,"$93,000.00 "
1250,"Adams, Paul",Medicine,Gastroenterology,1988,1993,Grants,Funded,FALSE,FALSE,Co-Investigator,Iron metabolism and hemochromatosis.,,,Paul Adams,,,Ministry of Health of Ontario,"$220,000.00 "
1252,"Adams, Paul",Medicine,Gastroenterology,Jul-89,,Grants,Declined,FALSE,FALSE,Co-Investigator,Isolation of Hepatic Ferritin Receptor,Establishment Grant,,,,,Canadian Liver Foundation,
1253,"Adams, Paul",Medicine,Gastroenterology,Jul-89,Jul-90,Grants,Funded,FALSE,FALSE,Co-Investigator,Mucosal iron in the control of iron absorption in a rat intestinal transplant model.,,,,,,Physicians Services Incorporated (PSI) Foundation,"$35,000.00 "
1254,"Adams, Paul",Medicine,Gastroenterology,Apr-89,,Grants,Funded,FALSE,FALSE,Co-Investigator,,Equipment,Research,,,,Ministry of Health of Ontario,"$7,850.00 "
1255,"Adams, Paul",Medicine,Gastroenterology,Jul-90,,Grants,Funded,FALSE,FALSE,Co-Investigator,Monocyte ferritin in hemochromatosis.,Student Fellowship Grant,,Paul Adams,,,Canadian Liver Foundation,"$39,000.00 "
1256,"Adams, Paul",Medicine,Gastroenterology,Aug-92,Aug-94,Grants,Funded,FALSE,FALSE,Co-Investigator,Interferon therapy in the treatment of chronic viral hepatitis.,,,,Ghent CN,,Schering Canada (Ghent CN),"$112,000.00 "
1257,"Adams, Paul",Medicine,Gastroenterology,Sep-92,Sep-94,Grants,Funded,FALSE,FALSE,Co-Investigator,Localization of the hemochromatosis gene - phase 1.,,,,,,PSI Foundation,"$25,000.00 "
1258,"Adams, Paul",Medicine,Gastroenterology,Dec-92,Jul-93,Grants,Funded,FALSE,FALSE,Co-Investigator,Adrenergic response in cirrhosis.,,,Paul Adams,"Bierbrier G, Feldman RD.",,PSI Foundation,"$14,500.00 "
1259,"Adams, Paul",Medicine,Gastroenterology,Oct-93,Oct-95,Grants,Funded,FALSE,FALSE,Co-Investigator,Iron Regulatory Factor in Hemochromatosis.,,,Paul Adams,Flanagan PR,,Canadian Liver Foundation,"$90,000.00 "
1260,"Adams, Paul",Medicine,Gastroenterology,Jul-95,,Grants,Funded,FALSE,FALSE,Co-Investigator,Localization of the hemochromatosis gene.,,,,,,Royal College of Physicians and Surgeons of Canada,"$10,500.00 "
1261,"Adams, Paul",Medicine,Gastroenterology,Jul-95,,Grants,Funded,FALSE,FALSE,Co-Investigator,"International Scientific Exchange Award - ‘‘Localization of the hemochromatosis gene"".",,,,,,Medical Research Council of Canada / Centre National de la Recherche Scientifique,"$11,000.00 "
