ID,Member Name,Department,Division,Date,Type,Role,Activity Type,Geographical Scope,Host,Country,Province,City,Hours,Education Presentation,Authorship,Title
5471,"Borrie, Michael",Medicine,Geriatrics,2007/04/18,Poster Presentation,,Scientific Presentation,National,The 27th Annual Meeting of the Canadian Geriatrics Society,,,,,FALSE,Borrie M,“Caregiver Burden: Data from the Canadian Outcomes Study in Dementia (COSID)”
5474,"Borrie, Michael",Medicine,Geriatrics,2007/04/17,Invited Lectures,,,,McCormick Home,Canada,Ontario,London,,FALSE,Borrie M,"“Mild Cognitive Impairment, Alzheimer Disease and Related Dementias, Diagnosis, Treatment and Research”"
5475,"Borrie, Michael",Medicine,Geriatrics,2007/01/23,Invited Lectures,,,,McCormick Home,Canada,Ontario,London,,FALSE,Borrie M,"“Mild Cognitive Impairment, Alzheimer Disease and Related Dementias, Diagnosis, Treatment and Research”"
5476,"Borrie, Michael",Medicine,Geriatrics,2006/12/14,Invited Lectures,,,,Kral Memorial Lecture,Canada,Ontario,"SJHC, London",,FALSE,Borrie M,"“MCI: Past, Present and Future”"
5480,"Borrie, Michael",Medicine,Geriatrics,2006/10/17,Invited Lectures,,,Regional,Long Term Care Physicians,Canada,Ontario,Kitchener,,FALSE,Borrie M,"“Dementia Update, Mild to Severe Dementia: A Case Study Approach”"
5481,"Borrie, Michael",Medicine,Geriatrics,2006/10/03,Invited Lectures,,,Local,McCormick Home,Canada,Ontario,London,,FALSE,Borrie M,"“Alzheimer Disease, Related Dementias and Mild Cognitive Impairment: Medical Aspects"""
5484,"Borrie, Michael",Medicine,Geriatrics,2006/09/12,Invited Lectures,,,Local,,Canada,Ontario,London,,FALSE,Borrie M,Memantine: “A Novel Agent for the Treatment of Alzheimer Disease in the Family Practice and in the Nursing Home Setting”
5486,"Borrie, Michael",Medicine,Geriatrics,2006/07/25,Invited Lectures,,,,McCormick Home,Canada,Ontario,London,,FALSE,,"“Alzheimer Disease, Related Dementias and Mild Cognitive Impairment: Medical Aspects"""
5489,"Borrie, Michael",Medicine,Geriatrics,2006/04/19,Poster Presentation,,Scientific Presentation,International,The 9th International Geneva / Springfield Symposium on Advances in Alzheimer Therapy,Switzerland,,Geneva,,FALSE,"Borrie M.J., Smith M., Sambrook R., Wells J., Luong D.",“Caregiver Burden: Data from the Canadian Outcomes Study in Dementia (COSID)”
5491,"Borrie, Michael",Medicine,Geriatrics,2006/04/27,Poster Presentation,,Scientific Presentation,Provincial,The 25th Annual Ontario Geriatric Association and the Regional Geriatric Programs of Ontario (joint conference),Canada,Ontario,Toronto,,FALSE,Borrie M,“4.0 T Magnet Resonance Spectroscopy in AD Treatment Response”
5492,"Borrie, Michael",Medicine,Geriatrics,2006/04/27,Invited Lectures,,,Provincial,The 25th Annual Ontario Geriatric Association and the Regional Geriatric Programs of Ontario (joint conference),Canada,Ontario,Toronto,,FALSE,,“Dementia Education for GPs: Delivery by Mail or Pharma Rep?”
5494,"Borrie, Michael",Medicine,Geriatrics,2006/04/25,Invited Lectures,,,,McCormick Home,Canada,Ontario,London,,FALSE,Borrie M,"“Alzheimer Disease, Related Dementias and Mild Cognitive Impairment: Medical Aspects"""
5495,"Borrie, Michael",Medicine,Geriatrics,2006/03/08,Invited Lectures,,,,,Canada,Ontario,Kitchener,,FALSE,Borrie M,“MCI or Early Dementia? When to Treat”
5496,"Borrie, Michael",Medicine,Geriatrics,2006/02/08,Invited Lectures,,,,Alzheimer Society,,,,,,,Family MD Dementia Education
